"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","180847","Place an order using paypal as payment type in Mobile","chromium","Fri Feb 14 10:09:46 GMT 2025","broken","Fri Feb 14 10:12:47 GMT 2025","","specs/HH.spec.js","",""
"","180986","Place an order using paypal as payment type","chromium","Fri Feb 14 10:09:47 GMT 2025","broken","Fri Feb 14 10:12:48 GMT 2025","","specs/HH.spec.js","",""
